coin,adl_notional,closed_pnl,leverage_realtime,pnl_percent,is_negative_equity,num_users,num_events
2Z,365828.83953999996,301099.557002,138.67139180582993,123.69899609398303,2,60,63
AAVE,2537416.47036,1590639.195873,820.15903144207,24.778348642654848,13,56,74
ACE,1817.819365,26.599045,0.0005460644890778241,-67.9920477137177,0,2,2
ADA,2834680.7656199997,1862765.87702,46.967723714360396,60.06582213762126,13,197,221
AI16Z,41684.325888,147554.337916,0.2358122934196974,623.7878329745035,2,39,44
AIXBT,44869.082736,114287.501686,0.03900108276852138,281.1918295135286,0,31,36
ALGO,43681.9209,32847.976917,0.06751183266198345,80.81138534592236,0,12,12
ALT,7178.309714000001,-19614.297026,0.8761762118341461,-295.75541098076695,9,26,26
ANIME,3032.66018,5486.279888,0.06807103856162364,615.9647320664269,0,9,9
APE,35430.153758,76159.127965,0.059652108846695515,315.2724788343178,0,20,22
APEX,1692645.4987,1377099.3473130001,381.95582481745987,60.39780465707839,9,40,44
APT,2357428.4741599998,1917652.0617520001,82.75398783674507,69.90854848851518,5,47,73
AR,116720.24777200002,418015.782684,0.04127250892294332,211.0615734760994,3,29,35
ARB,1640776.131472,2508003.102983,155.50072108610252,168.3367566892528,9,130,156
ASTER,27183535.67802,15384168.822077,86.5137775399227,44.58082093912039,23,420,431
ATOM,1179206.1832360001,821126.100228,385.9450117960165,95.22593266778533,5,108,112
AVAX,36642782.689227,23779338.745262004,114.447668556399,48.37116739347465,21,355,407
AVNT,706546.62534,1587742.621108,0.1356222883519171,188.26114305597417,1,78,80
BABY,23747.275238000002,41516.037048,0.02447961679277322,153.01064485004662,2,34,36
BANANA,46655.48736,49291.38346,0.04938346218181952,132.1008395222183,1,24,25
BCH,963587.17235,182275.014209,75.0118795953372,18.378465413506124,3,92,95
BERA,3518684.66472,3056224.2903110003,20.06584328275367,125.45313528604026,5,121,133
BIGTIME,536787.866,265399.855562,0.1045046661656787,66.96966465206387,2,56,56
BIO,89759.891864,211015.346437,0.08317365384692163,224.93238256263442,0,19,26
BLAST,15.219744,17.1534,1.4366118512120576,112.70491803278688,0,1,1
BNB,2652773.92323,861576.74919,833.8660145583812,35.242439008771406,26,301,304
BOME,37621.194703,60385.713259,0.026045191086922104,207.08055458055458,2,36,37
BRETT,113603.130232,194964.592362,0.03229558023559988,175.18042710288825,0,8,13
BTC,620890947.7263399,72834224.130543,38516.73025757567,10.427940520846718,126,2081,2443
CAKE,2047772.80026,1239824.686369,6.699256523528256,57.59093376191179,13,120,124
CELO,2287.54152,2249.605697,0.4120336123276119,108.9449655103965,0,4,4
CFX,23977.062469999997,26851.456453,0.5098248629791864,103.5133653606946,0,3,4
CHILLGUY,1257676.3089019998,1031598.269316,0.08011639879124774,86.10553295381636,3,86,89
COMP,51514.111880000004,46300.071154000005,0.2124561913677279,83.3725944262557,0,8,8
CRV,4838929.663318,5974047.994937,95.90971248323159,59.47573846844315,7,146,188
DOGE,16487948.01327,10539485.157745,1.4489882614785774,66.96236122302439,15,228,249
DOOD,35870.71058,10577.325139,0.4874614816903232,37.0944453055918,4,20,20
DOT,1049882.1400600001,655554.986542,5.08616227833377,102.47064677820536,1,97,120
DYDX,2209.521638,6034.407193,0.10675934658602707,208.7354799857991,0,7,8
DYM,6646.63593,16689.695467,0.06680384169086225,249.2907772304324,1,7,7
EIGEN,7635134.385644,8367947.05397,0.1024386518362013,100.30494257423169,4,126,136
ENA,42494476.46793,50203243.510481,239.6125565072324,112.9446418397824,22,263,360
ENS,4449511.74534,1853248.77473,0.08939977893104882,28.188612916692428,3,97,97
ETC,256652.95745000002,156142.938684,0.22689648342909818,63.49994775552358,0,4,6
ETH,458008925.03371996,110553424.91825901,249.5622111055451,23.930145891402358,91,1455,1498
ETHFI,158062.177823,159578.188528,0.4594077175710819,196.9859845800647,1,22,30
FARTCOIN,31991224.022531997,68272960.54699701,28.243307953121494,164.74158354776796,23,1869,1999
