ticker,net_volume,net_notional_usd,total_pnl,num_adl_events,avg_price
BTC,5832.3903,620890947.7263399,72834224.130543,2443,106427.71019238641
ETH,130824.9687,458008925.03371996,110553424.91825901,1498,3467.904005340454
SOL,1671652.73,276200960.5825,69136517.65033199,3031,164.96105575717587
HYPE,5380457.9,189932888.08489,51665287.384261996,6229,35.67786803660299
XPL,167640017.0,65849039.1375,119388212.763551,2984,0.4833867459785523
PUMP,17976735910.0,57293422.024491,31523223.181210004,1868,0.003753232869379015
ENA,147574182.0,42494476.46793,50203243.510481,360,0.2764948888888889
AVAX,2055293.85,36642782.689227,23779338.745262004,407,17.23509066339066
FARTCOIN,102365773.9,31991224.022531997,68272960.54699701,1999,0.368804212106053
XRP,17134400.0,31422285.059499998,13342514.061068002,607,1.8480947281713345
ASTER,24617730.0,27183535.67802,15384168.822077,431,1.2086823665893272
LINK,1550814.0999999999,21522160.54814,12555115.806037998,259,14.255352895752896
LTC,233884.49,21130168.38951,6682416.911701,197,90.81636040609138
ZEC,98525.59,18910182.6066,2537940.010689,400,196.45950000000002
DOGE,122700852.0,16487948.01327,10539485.157745,249,0.14058353413654617
SUI,7204710.3,13366242.425725,9885986.86666,442,1.7503470588235295
PENGU,617854803.0,10586141.522231,9165467.206806,372,0.01695972311827957
MNT,7397546.7,10115187.861370001,5580602.295423001,211,1.490683886255924
IP,1714723.0,9347849.66935,6369495.382761001,270,5.632292592592592
TAO,41354.702,8664278.5153,5847181.718608,167,217.26676646706585
UNI,1674916.0,7996968.17786,6671322.462718001,172,4.543698837209303
EIGEN,8966455.16,7635134.385644,8367947.05397,136,0.8531463235294118
kBONK,683771987.0,5537900.664542,12360885.391773999,144,0.0093289375
LINEA,330905258.0,5370777.307668,3724050.296731,186,0.015885075268817207
CRV,13136515.4,4838929.663318,5974047.994937,188,0.3934016489361702
LDO,5446344.7,4480696.559335,2296570.451282,97,0.7256203092783505
ENS,274027.77,4449511.74534,1853248.77473,97,16.15627525773196
ZRO,3220670.1,4292021.85828,3476996.6925580003,166,1.3436975903614456
WLD,9587768.0,4146542.4085540003,8188021.683735,232,0.5206677155172413
HBAR,24266268.0,4056956.41676,1457451.3973579998,186,0.1426998924731183
kPEPE,928603009.0,4047752.1501599997,6929617.99816,166,0.004532355421686747
LAUNCHCOIN,53648833.0,3659160.473367,2243619.386583,155,0.06877714838709678
BERA,2421070.9,3518684.66472,3056224.2903110003,133,1.4404135338345865
TRUMP,966103.3,3466111.39955,5709361.201572999,255,3.826164705882353
PURR,25772600.0,3003248.98367,2294574.55621,168,0.11729696428571429
ADA,5895442.0,2834680.7656199997,1862765.87702,221,0.49179886877828055
BNB,2880.064,2652773.92323,861576.74919,304,913.8756907894738
AAVE,16671.66,2537416.47036,1590639.195873,74,138.34564864864865
WLFI,25430852.0,2466181.055991,2824109.409985,84,0.08861054761904763
TON,1802084.0,2426982.60915,3151725.833325,98,1.554140612244898
APT,740037.26,2357428.4741599998,1917652.0617520001,73,3.2025260273972602
JUP,10443605.0,2275257.2574299998,3119451.467364,137,0.2006707299270073
NEAR,1172580.4,2264869.2005800004,1168712.699924,88,1.986728409090909
STRK,22518201.3,2227459.3053860003,1232741.772406,143,0.0965158041958042
SNX,2682397.6,2112986.310677,848520.384159,73,0.7980727397260274
WIF,7013557.0,2101173.08768,3554105.70257,201,0.2905792039800995
CAKE,906420.8,2047772.80026,1239824.686369,124,2.3451782258064515
ONDO,4440405.0,1867530.54755,2427286.31179,116,0.3761601724137931
POPCAT,14879087.0,1836397.227669,3467169.566371,150,0.12399536
STBL,19361061.0,1797895.29966,4270393.410046,70,0.09863898571428571
APEX,1384678.0,1692645.4987,1377099.3473130001,44,1.2290999999999999
ARB,9337969.2,1640776.131472,2508003.102983,156,0.18423730769230767
W,21120525.3,1626948.857814,704380.5969819999,110,0.07290081818181818
TRX,5014873.0,1565228.32158,138580.33683199988,43,0.31166953488372096
S,11203360.0,1516855.4022650002,2119923.324595,113,0.1394617256637168
SPX,1873921.7,1482423.380212,1372601.7001119999,129,0.8512592248062016
SEI,9725720.0,1313203.6759849999,1463158.3851480002,126,0.14428062698412697
CHILLGUY,48515599.0,1257676.3089019998,1031598.269316,89,0.02469243820224719
ATOM,455568.29,1179206.1832360001,821126.100228,112,2.41316875
ZORA,16590183.0,1161727.57037,461345.821409,180,0.07279287222222222
DOT,430328.89999999997,1049882.1400600001,655554.986542,120,2.272165833333333
BCH,2010.487,963587.17235,182275.014209,95,477.4205263157895
MORPHO,901395.6,867112.939317,908404.58524,73,0.989478904109589
VIRTUAL,1538153.8,827168.2810579999,1233822.31666,120,0.5114713333333333
INJ,151730.9,799581.48114,1275284.724325,999,4.8265666666666664
PENDLE,336270.0,780369.8486,830620.302756,63,2.238728571428571
ZK,18174593.0,760392.175087,307972.351477,114,0.03650167543859649
IO,2085439.4,723513.01494,658774.277523,56,0.31460928571428576
GRASS,2091610.4,710149.725479,1522595.235126,132,0.35489143939393936
AVNT,2081970.0,706546.62534,1587742.621108,80,0.34835325
VINE,19856229.0,566720.439439,733951.041301,64,0.03274325
BIGTIME,15105848.0,536787.866,265399.855562,56,0.03478214285714286
ZEREBRO,38928354.0,416179.972753,345271.992126,64,0.010719000000000001
